"tweet_text","dataset"
"There's gonna be one less lonely girl  OMG I love that song by @justinbieber.  Its stuck in my head all day.  Y'all better go buy it.","twitter_cikm_2010"
"Contract COTA Job in Southern California School - Los Angeles United Stat... http://jobsurl.com/b63db","twitter_cikm_2010"
"@jaypepito perform sitting down. Like Pig Champion, minus the guitar.","twitter_cikm_2010"
"Im naked once again. Gonna shave my legs in the shower maybe rub 1 out. Keep ya posted.","twitter_cikm_2010"
"RT @Lyndoneugene: What the hell? Nigga can't even get a job at burger king now Look what I seen at work  http://pic.gd/4e311a <<t-concourse","twitter_cikm_2010"
"... PLEASE STOP TWEETING ABOUT VAGINAS.. MY MADRE IS ASKING QUESTIONS","twitter_cikm_2010"
"Naw I aint never been to Knicks game, but I seen Tim Duncan in the Olympics go for 45 against Spain! ""GamE""","twitter_cikm_2010"
"RT @Adorn_Ambreezzy: #NewYearsResolution to have @chrisbrown tell me he loves me _Ù÷Ç_ÙÕÐ_ÙÕÐ_ÙÕÐ_ÙÕÐ","2015-new-years-resolutions"
"Building Peace - Thoughts on Modern Conflict http://bit.ly/16XT5D","twitter_cikm_2010"
"With @aae1stladi & maryan in Will Co Ridin and smoking. They crazy I dnt ride an smoke out here lol","twitter_cikm_2010"
"RT @MIMIBADASS: lol the freakiest text ive sent. i texted my ex telling him i wld suck his dick from the bx 2 jersey..____yeah buddy!!!","twitter_cikm_2010"
"so so so boreeeed =/","twitter_cikm_2010"
"http://www.formspring.me/Krysdammittena is creating stalkers oooooow!","twitter_cikm_2010"
"@rogun32 Good luck cong! haha","twitter_cikm_2010"
"I had to cook for my baby... Lookin like a lil boy! http://tweetphoto.com/13672925","twitter_cikm_2010"
"Hospitalist Locum Tenens Job Opportunity in KY! (Kentucky) http://bit.ly/yubei #chltjobs #tweetmyjobs #jobs","twitter_cikm_2010"
"Just stepped barefoot into cat vomit. How's YOUR morning going?","twitter_cikm_2010"
"New OTK post Farabee not running for re-election: Democratic State Rep. David Farabee is not running.. http://bit.ly/1a8wRg","twitter_cikm_2010"
"#igrewupon Coca Cola rugby shirts","twitter_cikm_2010"
"Confused by acronyms? FEMA's here to help. FEMA Acronyms, Abbreviations and Terms http://tinyurl.com/2sfvbp","twitter_cikm_2010"
"@LoonIEs_world send it to me","twitter_cikm_2010"
"American airlines is taking Dr's and Nurses to Haiti for FREE. UPS is also sending packages under 50lbs to Haiti for FREE. DO UR PART! HELP","twitter_cikm_2010"
"@boozysmurf Possibly, but 1 month to birthday means I shouldn't go getting anything for myself just yet.","twitter_cikm_2010"
"im sick as a whore bout now!","twitter_cikm_2010"
"GET IT AT http://lnk.ms/4d5SY","twitter_cikm_2010"
"Damn looks like I'm not getting no valentine watever tho","twitter_cikm_2010"
"To true: RT @Cliff_Meyer Doing nothing is the most tiresome job in the world, because you can't stop and rest.","twitter_cikm_2010"
"So dissapointed I have to wait till next week for the new True Blood. Had the dinner, wine, and sofa all ready to go. Bubble burst!","twitter_cikm_2010"
"I am listening to the The New Year in Real Estate 2010 show by LaMar Campbell on #BlogTalkRadio - http://tobtr.com/s/842178","twitter_cikm_2010"
"Former Trav John Lackey gets the win...Arkansas native Torii Hunter goes deep...Angels beat Sox 5-0...a good night.","twitter_cikm_2010"
"just posted the shots from The Script to http://www.concertgallery.lu And there's news in the &quot;news-section&quot; for the RAF goers ","Sentiment140"
"Just completed a 1.93 mi walk with @runkeeper, check it out http://bit.ly/13Bl15 #RunKeeper","twitter_cikm_2010"
"k so i love u @justinbieber. :)  iluv 1ST DANCE & DOWN 2 EARTH! ur so sweet. can i b the girl @ prom?wanna taste my lipgloss? ;)","twitter_cikm_2010"
"Rise & Grind.....At Work...TGIF...And I'm On Winter Break..And It's Payday..Niice!","twitter_cikm_2010"
"@OzAtheist doesn't have enough to do ","Sentiment140"
"wishing I had my phone back ","Sentiment140"
"@Valeri05 hmmm. Missing the tweet chain...","twitter_cikm_2010"
"I have achieved a long term goal. Kudos to me.","twitter_cikm_2010"
"Motion adopted to approve items I-M.","twitter_cikm_2010"
"Sharing my breakfast with a blackbird..... I think I found a new friend ","Sentiment140"
"RT @THEREALSAS: "" In Search of Stoney Jackson "" is in Stores Jan 26th & Available Now at www.stronesthrow.com - Thank You for your support","twitter_cikm_2010"
"One of our actors is coming out in another movie check out details http://bit.ly/4igoip","twitter_cikm_2010"
"I need a dj who is willing to bring their setup to the studio for a portrait in the next 2 weeks.... Support the art","twitter_cikm_2010"
"@jmabell LMAO. I don't know what they were thinking, but I know what I'm thinking. LMAO","twitter_cikm_2010"
"@AnniePeaces #yasss.. I like how u operate.. hopefully in da future our lives cross paths.. We gon cut on #MM Mystikal -still smokin n float","twitter_cikm_2010"
"watching step brothers","twitter_cikm_2010"
"@willowztroll no broski i gots no ride to gvegas really want to be there","twitter_cikm_2010"
"RT @joandjoenyc: today's style pick - bohemian chic--recycle couture: http://bit.ly/2woh7M {my new thing}","twitter_cikm_2010"
"Getting double teamed by two Asians. Was I really that bad??!!","twitter_cikm_2010"
"@GlitterAbuser lol damn freudian slips. He's a big young man.","twitter_cikm_2010"
"RT @Gorgeous_Kym: RT @Fly_montana: Where did Love go and where does that leave us ?-- u in love it aint go no where for u lol","twitter_cikm_2010"
"@qormi101 No I've just woken up and showered. Going to grab lunch, petrol, pack then bye bye Nottingham. ","Sentiment140"
"FarmVille Secrets.: First And Original Farmville Guide. Niche Better Than Mafia Wars Or Warcraft. 75% Commissio.. http://tinyurl.com/yjcf9q2","twitter_cikm_2010"
"@JaMalonyoblock yeah its kinda like a blog","twitter_cikm_2010"
"RT @PEEWEE522: GOD IS GREAT GOD IS GOOD!!! TRUST IN HIM PEOPLE HE'S ALWAYS WORKING SO ALWAYS BELIEVE IN HIM.. NEVER LOSE FAITH!!!","twitter_cikm_2010"
"@thelindsinator you can have it put on a skateboard! And a bumper sticker! Now I know what I'm getting you for Christmas :P","twitter_cikm_2010"
"Stuck at work listening to the best lonely Thanksgiving music. Haha... http://pic.gd/cf4ced","twitter_cikm_2010"
"#thoughtsntheclub why is this chick still dancin on me? *grab other dude & switch* @clwilliams3 & @fbarnes are notorious for that move.","twitter_cikm_2010"
"Just hit the store, got some beer and ingredients to make chili.  WoOp!  Sledding later. Wachuknowboutdat","twitter_cikm_2010"
"Buy Beastlies that won't be sold online!  Show up and meet the Beastlies IN PERSON!","twitter_cikm_2010"
"Can Aquarium fans get Myrtle the turtle to 800 fans today? Share this link with your ocean-loving friends to... http://bit.ly/6scjFB","twitter_cikm_2010"
"Happy Birthday Taylor Swift!","twitter_cikm_2010"
"@yewww i'm in Italy (Florence) right now  cool! sounds great  congratulations! hugs xxx","Sentiment140"
"new pic comin up soon on facebook....me ridin in the maybach","twitter_cikm_2010"
"DJs, as the year & decade comes to a close, keep in mind the ones who paved the way 4 all of us. RIP JMJ, AM, Roc Raida & Mr. Magic. We r 1.","twitter_cikm_2010"
"And this is why I love them. RT @terrabytez Awesome! RT @MorganWebb Go Bears!!!!!!!!!","twitter_cikm_2010"
"RT @RuggedNRaw: Make sure you recirculate money in your community and not just downtown areas.  It is important we support one another!!","twitter_cikm_2010"
"Just signed daughter up for gingerbread house class. Next is fondant. Her cooking skills/interest already exceed mine.","twitter_cikm_2010"
"is starting Christmas shopping, but has no good ideas!","twitter_cikm_2010"
"im a young upcoming rap artist that would like to get ur support spread the word about me thanks  http://bit.ly/Er5GU","twitter_cikm_2010"
"As holidays approach, retailers are hopeful and shoppers are wary http://bit.ly/pdx3j","twitter_cikm_2010"
"Promotion your blog with Free Review And Guest Post: Promotion your blog with Free Review And Guest Post  You.. http://tinyurl.com/dayhdy","Sentiment140"
"@marilee Hahaa, that's amazing:""I think it's called Arial?""","twitter_cikm_2010"
"@c_weezy_24 bruh i need ya help...","twitter_cikm_2010"
"@jordans_cupcake 40 for 5 plus I pay 60 for spinning and boxing!","twitter_cikm_2010"
"@Crystalville I think that is resonable.","twitter_cikm_2010"
"Up to date with Survivor.  Jeff Probst looks like he is enjoying himself again.","twitter_cikm_2010"
"@lirecasander Je suis jalouse!!","twitter_cikm_2010"
"@ronamoira aaah. That's so sad. ","Sentiment140"
"Our non profit's show next year will be Yeomen of the Guard, see cool costumes: http://tinyurl.com/nabkpu","twitter_cikm_2010"
"A PSP2 wld need a 3G connection 4 me 2 wnt 2 play it a lot (multiplayer). I hrd the nxt Nintendo handheld is planning 2 have ths.","twitter_cikm_2010"
"This song always makes me smile at the way he asks right, like he wants confirmation.  It's a spoof on a bad si... ? http://blip.fm/~gic69","twitter_cikm_2010"
"@MariamMKobras Night's been fairly quiet, so I didn't have to break out the cattleprod.","twitter_cikm_2010"
"For those of u that know me personally,would you say I have anger management issues? Apparently some of the people closest to me think I do.","twitter_cikm_2010"
"My mind is a little fucked up.... E não é apenas da tese...","twitter_cikm_2010"
"they split up   ","Sentiment140"
"#subliminaltweets crack me up the most lmao","twitter_cikm_2010"
"Tea time...enjoying a tazo joy tea","twitter_cikm_2010"
"--Sponsorship-- Monster Energy’s Amateur MX Racers Score Some Big Podiums At The Oak Hill Amateur.. http://tinyurl.com/cnmwch","twitter_cikm_2010"
"@DFingas my dude, I saw you've read The Isis Papers. Do you recommend it??","twitter_cikm_2010"
"http://twitpic.com/x0sju - love is a fast song","twitter_cikm_2010"
"So now I have to go shopping for All new clothes. Oh well. I needed that.","twitter_cikm_2010"
"I nevr rwalized hwo muxch I hateD peoplE","twitter_cikm_2010"
"The new collection did well in Boston.Please come see it at October market, Atlanta, Dallas Puerto Rico click http://fashionspy.com/tsi.html","twitter_cikm_2010"
"@JK8675309 Thank you for the RT :)","twitter_cikm_2010"
"@MAESTROKNOWS hell yeah, can't wait for it to be posted!","twitter_cikm_2010"
"U aint gettin' my cell # involved in your mistakes...we're grown now...just because u aint got nothin to lose doesn't mean I do.","twitter_cikm_2010"
"It's late. I'm not tired. I'm bored. I just sent a problem thingy to Twitter. I hope they can help me.. Blahh...whatever. ","Sentiment140"
"@KristiAmandaA haha i would do the same bc there only like 3 country artist i like and they r more on the pop side lol","twitter_cikm_2010"
"@498776 This is one for @120576 ^MM","Customer Support on Twitter"
"@faryl ACK! You mean I missed my Friday Keith Morrison fix  was it a good show? aaaaaaaaahhhhhhhaaaa","Sentiment140"
"I feel like I am being overly cynical. I take back my last 20 tweets and all fb statuses.","twitter_cikm_2010"
"@jasonauburn Stagsden v oakley. We are stagsden. We are now 36 for 4 off 9 overs. They are now smacking it to all parts ","Sentiment140"
"RT @dyahasysyifa: deg2an ujian kartul hari sabtu..........","twitter_cikm_2010"
"@suethomas football :-(","twitter_cikm_2010"
"Blackberry Tour comes out for Telus on July 15th. Should I switch to that one? I really loved my Storm though.  :/ What to do?","Sentiment140"
"huh? rain??  tsk tsk Summer, are you being an ironic hipster? ... like thefaj?","twitter_cikm_2010"
"WTF did LSU do at the end of the game? Total coaching error.","twitter_cikm_2010"
"@LuvRachelleRae smh toooo busy for me lol","twitter_cikm_2010"
"@jjonesy24 lol helll yea","twitter_cikm_2010"
"So who is the bigger sick fuck here? LOL You win!","twitter_cikm_2010"
"@UFC would never bootleg the UFC but had to sit this one out :( be nice if it were buy 3 get one free. Or a UFC PPV pass.","twitter_cikm_2010"
"Mowed the lawn. Hoping it is the last time for the year.","twitter_cikm_2010"
"@MTVsC2 @GODJJBOSS @DJGenie I sell AmericanDJ, PioneerDJ, Rane, JBL, Bosch lighting and mixing too audioimages.webs.com ask me for info plz","twitter_cikm_2010"
"@OmarNova I didnt even bother to listen.","twitter_cikm_2010"
"@lizrdd maybe because I'm a chonga?","twitter_cikm_2010"
"@TierraBarber sorry so late..but I'm chilln..about 2 get another tat","twitter_cikm_2010"
"Eating breakfast at King's. The meal I'm having is delicious!","twitter_cikm_2010"
"RT @Jonathan360: This is how you sell albums, Weezer Snuggie: http://tr.im/DY5l (via @yourmacguru)","twitter_cikm_2010"
"But at the same time its cool to know that wherever I go I  have awesome people I can surround myself with!","twitter_cikm_2010"
"@sequoiahouston I will","twitter_cikm_2010"
"@alcoholharmony I aint got non but I'm plannin on GROWIN SOME...LMMFAO","twitter_cikm_2010"
"@db_wood I am sooo bored!! Its almost sad!! Lol","twitter_cikm_2010"
"Woke up really early.. morning twitter ","Sentiment140"
"Great Ottawa news - http://is.gd/8eBOo","twitter_cikm_2010"
"tomorrow can't come any sooner. (: tmrw is #LVATT day or JONAS day. yaaaaay. &lt;3 im going crazy in excitement. ","Sentiment140"
"@denvernitze brilliant link! looks like they beat me to it!","twitter_cikm_2010"
"@swaggerificprin AWWW THAT'S SOO CUTE BROTHA!!!! I'm EXTRA HyPE FOR U","twitter_cikm_2010"
"@themarsvolta Nothing of Mars Volta at Brasil? Never?! ","Sentiment140"
"@Jeff0134 Good morning! ","Sentiment140"
"@cupcake__ arrrr we both replied to each other over different tweets at the same time  , i'll see you then, Duno where the hell Kateyy is!","Sentiment140"
"I think its cute when you get jealous  http://myloc.me/3rHVw","twitter_cikm_2010"
"have you ever seen 'the amazing zohan' ?","twitter_cikm_2010"
"Check out www.delluniversity.com/taylorf! GREAT, SUPER, WONDERFUL student discounts!!","twitter_cikm_2010"
"Praying for candidates for Confirmation from St. Ambrose and St. Mary parishes in Anderson as they are on retreat this weekend.  &lt;3 &lt;&gt;&lt;","Sentiment140"
"I am about to go out to eat at wow cafe in Hammond. ","Sentiment140"
"@identify_urself thnx....didn't want to chop up your message  ","Sentiment140"
"@SarahWisbey I was for a short time, but I'm here now girlfriend! ","Sentiment140"
"Cnt answer but can text right after..will get u deleted from my phone","twitter_cikm_2010"
"RT @Bizcuits: @DJWEATHERMAN what movie is that? :-) Southside Barbecue I think lol","twitter_cikm_2010"
"@BiebersShawty hey I was just returning you the favor :)","twitter_cikm_2010"
"Q:if i could cook you the perfect meal what would... A:fried chicken or steak with mac and cheese. http://formspring.me/youngreup/q/91698820","twitter_cikm_2010"
"@AmandaAmplified can I be an alchie wif u","twitter_cikm_2010"
"@325123 Hi! Help is here. Can you tell us which version of Windows are you using? Feel free to send us a DM for better assistance. https://t.co/3qcAsLFkaY","Customer Support on Twitter"
"First day of classes was pretty boring. Especially since I only made it to half of them...","twitter_cikm_2010"
"I'm at 675 Bar w/ @jerpdavis. http://bit.ly/USGA3","twitter_cikm_2010"
"Lots of sun today, office AC still out of order ","Sentiment140"
"Come get some! RT @xitsbritt: :0) RT @Lboogie12    Margaritas!!!","twitter_cikm_2010"
"@C_Lopez1 haha I have the hexad answers if you need em","twitter_cikm_2010"
"She left the nigga she love for the nigga she liked","twitter_cikm_2010"
"I sometimes get the feeling that others want to see you struggle bc it makes them feel better about their inadequacies.","twitter_cikm_2010"
"RT @GuyKawasaki: Use Ning to reach your niche market http://om.ly/bsdr","twitter_cikm_2010"
"YES YES YES! I booked a gig!! I booked another gig!!! I'll SEE YA'll AT THE TOP MY LUVS! CAUSE IT AINT NO OTHER WAY IM GOIN!  HOLLA!","twitter_cikm_2010"
"@Carissa_Rae on my way home hadda drop off chels","twitter_cikm_2010"
"@johnnysidewalk I had the unfortunate experience of being ""locked in"" donahues with kev metro late one night. Worst human.","twitter_cikm_2010"
"@heckelluvsbone sounds like maybe I should kidnap you friday","twitter_cikm_2010"
"@caca_boudin That's really good ! I saw the end of season 2 this monday...","twitter_cikm_2010"
"@737646 GREAT! Thanks for continuing to fly with us. See you soon. ✈ *AMC","Customer Support on Twitter"
"I'm happy to have found @organizersandy i need help! #community","twitter_cikm_2010"
"@BruceDwayne LMAOOOOOOO AHAHAHAHAHA ITS A QUESTION!!! ALL THE PICZZ OF GOD HAVE HIM WITH HAIR, WAT IF HE REALLY WAS BALD???","twitter_cikm_2010"
"got home from the airport and went right into rehearsal...NOW im tired...lol","twitter_cikm_2010"
"Just for Laughs! Check out great amzing things and funny party gags! The best Pranks in the world! http://is.gd/4TsXq","twitter_cikm_2010"
"RT @diptNYC Irememberthetime KrissKross made ya jump before they rode the bus--But then he missed the bus....","twitter_cikm_2010"
"nature is strange, Werner Herzog narrating the &quot;certain death&quot; of a penguin...   http://bit.ly/8vVGZ","Sentiment140"
"@laurenmack1129 Cute! More than happy to enter them-just have 2 tell u the prize is Dogtopia related & we don't have one in Naples (yet) :)","twitter_cikm_2010"
"@richgates OMG I am about to puke and we're not even five minutes in. You should see this crap. @mattnathanson tweeted that Phoenix won.","twitter_cikm_2010"
"@SwagMula I've been good....in the bx, yall don't call me :-/","twitter_cikm_2010"
"@Dove927 happy valentines day my tweetheart ?","twitter_cikm_2010"
"CONGRATS @taylorswift13 for your moonman!","twitter_cikm_2010"
"via modi india shot down low orbit satellite ","Twitter Sentiments Dataset"
"@PeteWisdom working. hang on","twitter_cikm_2010"
"*everything* in the cloud is harmful to the internet's progress","twitter_cikm_2010"
"RT @healthylocs: Healthy Locs interviews Chris-Tia Donaldson of Thank God Im Natural http://ping.fm/464vK","twitter_cikm_2010"
"hey tila follow me ","Sentiment140"
"@531485 Can you also let me know the date/time of your visit? TY - Jayne 3/3 https://t.co/py5Z991Bme","Customer Support on Twitter"
"Off to learn massage therapy for horses.... ","Sentiment140"
"Haha god I love my family. http://tweetphoto.com/13257146","twitter_cikm_2010"
"Online Savings £50 Laptop Discount from Laptops Direct  http://tinyurl.com/yfhbogw","twitter_cikm_2010"
"T. Rizzle Radio: More Than Love Ft. Fabolous - Amerie - [In Love And War #07] #MusicMonday http://bit.ly/1rdMZM","twitter_cikm_2010"
"Have a Thanksgiving recipe for us to feature online!? Email it along w/ ur photo to: fbfamilycookbook@gmail.com! Deadline 11/13!","twitter_cikm_2010"
"@Xaan Fine thanks!! A little bored though. Might watch a movie or TV or something like that ","Sentiment140"
"Hubby came down for the weekend and now he's flying back home. I miss him  Had a fun weekend though ;-)","Sentiment140"
"@yazzzypooh fuckin lil rob got me! And on a day where there are mad delays! Damn","twitter_cikm_2010"
"Tickets still available for tomorrow's Reds game. http://www.cincinnatiredsnews.com/tix/929358","twitter_cikm_2010"
"Stop 'em Vikes!!","twitter_cikm_2010"
"@tomjhurley the alligator women!!! http://mypict.me/IlPz","twitter_cikm_2010"
"http://tinyurl.com/dvdepotfanpage Become a fan of dvDepot on Facebook.","twitter_cikm_2010"
"@adamriggins I can't say anything. last week nothing really got done.","twitter_cikm_2010"
"RT @BedRoomCakester: @OhKae_  I feel you anit to many built for a movement like us","twitter_cikm_2010"
"@barbsrad Tried it all barbs - no joy, dead infected nerve FTL ","Sentiment140"
"@mileycyrus Miles cngratulations 4 the award  you totally deserve it! love ya","Sentiment140"
"@Heretotellit: RT @RachFace43: A man is as faithful as his options #tigerwoods=> lotta options then lol *HaHa! U right!*","twitter_cikm_2010"
"Not gonna lie... it's been a rough week so far. At least Riley still makes me laugh.","twitter_cikm_2010"
"@753865 Hi, sorry to hear of this incident. You can make a complaint via: https://t.co/9XOeN979CW or alternatively if you can provide (1/2)","Customer Support on Twitter"
"@arcael inc does in a way","twitter_cikm_2010"
"@_transparent @julia72 @andrewkfromaz mmmmm, cheeeeese.","twitter_cikm_2010"
"@therealnihal Im in Swansea!!! ","Sentiment140"
"Early night for a friday. Hmm...","twitter_cikm_2010"
"I just turn on the idiot box not watching anything outside of news & sports. Best T.V. Shows r on Hulu - Time Warner the bell tolls for thee","twitter_cikm_2010"
"I want to smash something","twitter_cikm_2010"
"@_sweet_lOvinq nd they asses won't get paid a penny...shit they crazy lol http://myloc.me/2L1RQ","twitter_cikm_2010"
"Follow Jamx Also DJ Love.... @DJJAMX","twitter_cikm_2010"
"RT @RyanSeacrest: Just got a call from cnn. here are the final numbers raised from last nights show.. for unicef + (cont) http://tl.gd/4c686","twitter_cikm_2010"
"@FilthyMcKnasty hungry and want money? Are you an escort? O_o","twitter_cikm_2010"
"coward modi will anyways fight from multiple seats","Twitter Sentiments Dataset"
"@DailyMakeover Oh gosh, that is awful.  I know plent of atheists who are as moral if not more so than many christians I know.  ","Sentiment140"
"RT @ihatequotes: No tears falling, just heart breaking. And I was right, that he'll never be my prince of charming. -Love Haiku #ihatequotes","twitter_cikm_2010"
"is getting ready to head out to run errands before Boozy Lunch Time!","twitter_cikm_2010"
"IF YOUR ON SKYPE ADD ME MCCRAZYCHRIS TO UR SKYPE PAGE http://tweetphoto.com/10188921","twitter_cikm_2010"
"@RizzoTees Only one thing that matters is the one thing in common: red meat","twitter_cikm_2010"
"How to Keep Your Customers by Tom Hopkins http://bit.ly/lE7Ln","twitter_cikm_2010"
"Don't be a ghost this Halloween. Be Sexy Darque!  http://tiny.cc/Halloween615","twitter_cikm_2010"
"@js22kt: maybe it's not ethical, but at least it's economic. ;)","twitter_cikm_2010"
"Heather - ""its a snake, it will eat you, arwr!","twitter_cikm_2010"
"@diablocody Okay, the Margaret Yang reference kinda killed me. Well played.","twitter_cikm_2010"
